epoch,step,loss,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,learning_rate,grad_norm
1.0,324,0.5326,,,,,,1.4828375286041192e-05,12.03785228729248
1.0,324,,0.44974035024642944,0.8191681735985533,0.8729764181007011,0.6087691907364039,0.626855600539811,,
2.0,648,0.4091,,,,,,7.414187643020596e-06,10.086894989013672
2.0,648,,0.3322078287601471,0.8679927667269439,0.8222622689744772,0.7858443924017695,0.8015377883967769,,
3.0,972,0.3452,,,,,,0.0,4.285558700561523
3.0,972,,0.39889994263648987,0.8734177215189873,0.8186852154937261,0.8257220921155348,0.8221047794117646,,
3.0,972,,,,,,,,
