"title","url","stars","name","reviewUrl","text"
"Cảng hàng không quốc tế Tân Sơn Nhất","https://www.google.com/maps/search/?api=1&query=C%E1%BA%A3ng%20h%C3%A0ng%20kh%C3%B4ng%20qu%E1%BB%91c%20t%E1%BA%BF%20T%C3%A2n%20S%C6%A1n%20Nh%E1%BA%A5t&query_place_id=ChIJnZ-oGhEpdTER8ycbqsCc8Ng","5","Ngọc dinh Phạm","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t4dUxVMWlkUzEwVVZOTk5uRnFjWFkyYmxCRllVRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOkxuLU1idS10UVNNNnFqcXY2blBFYUE%7C0dTQiiWpC9J%7C?hl=vi",
"Cảng hàng không quốc tế Tân Sơn Nhất","https://www.google.com/maps/search/?api=1&query=C%E1%BA%A3ng%20h%C3%A0ng%20kh%C3%B4ng%20qu%E1%BB%91c%20t%E1%BA%BF%20T%C3%A2n%20S%C6%A1n%20Nh%E1%BA%A5t&query_place_id=ChIJnZ-oGhEpdTER8ycbqsCc8Ng","3","AMC","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25kcU9FbHhhR1pLVjE5d1JFUmlNVlJpZFhwbVZYYxAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOndqOElxaGZKV19wRERiMVRidXpmVXc%7C0dTPVijc2yU%7C?hl=vi","International terminal の屋内外にあるBIDVのATM3台はいずれも現金切れでした。
私のクレジットカードでは請求後に取消処理になっていたため、同様に現金切れだった場合は念のため確認することをおすすめします。

ロビーの両替所はまとまった金額でないと対応してもらえず、152番バスの運賃5000₫すら用意できませんでした。
そのため徒歩15分ほどのATMまで歩くことになりました。"
"Cảng hàng không quốc tế Tân Sơn Nhất","https://www.google.com/maps/search/?api=1&query=C%E1%BA%A3ng%20h%C3%A0ng%20kh%C3%B4ng%20qu%E1%BB%91c%20t%E1%BA%BF%20T%C3%A2n%20S%C6%A1n%20Nh%E1%BA%A5t&query_place_id=ChIJnZ-oGhEpdTER8ycbqsCc8Ng","5","Wan Saifuddin","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25aWmVUQTFlbEpZU0RaNWVHUTFUV1owZFhSVlZVRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOnZZeTA1elJYSDZ5eGQ1TWZ0dXRVVUE%7C0dTO9x6XITS%7C?hl=vi","Airport Ho Chi Minh. Semuga lancar pulang ke Penang"
"Cảng hàng không quốc tế Tân Sơn Nhất","https://www.google.com/maps/search/?api=1&query=C%E1%BA%A3ng%20h%C3%A0ng%20kh%C3%B4ng%20qu%E1%BB%91c%20t%E1%BA%BF%20T%C3%A2n%20S%C6%A1n%20Nh%E1%BA%A5t&query_place_id=ChIJnZ-oGhEpdTER8ycbqsCc8Ng","1","Tai Kim Tran","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GdlMxcE1ZVUp3V1dvemRGTmxSM2R3UkU1QlYzYxAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOmFvS1pMYUJwWWozdFNlR3dwRE5BV3c%7C0dTMthQzU7K%7C?hl=vi","Nhà ga T3 chưa gì xuống cấp, sàn dơ & cũ, tường toilet chưa gì 1 số chỗ ố vàng, toilet thì dơ, nhân viên vệ sinh thì thô lỗ, thời nào rồi mà còn sử dụng chai xà bông rửa tay trong sân bay"
"Cảng hàng không quốc tế Tân Sơn Nhất","https://www.google.com/maps/search/?api=1&query=C%E1%BA%A3ng%20h%C3%A0ng%20kh%C3%B4ng%20qu%E1%BB%91c%20t%E1%BA%BF%20T%C3%A2n%20S%C6%A1n%20Nh%E1%BA%A5t&query_place_id=ChIJnZ-oGhEpdTER8ycbqsCc8Ng","1","Carlos M","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWUU16WnZhazV6U0daSlF6UlNkblJKZVVWSmVtYxAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOkVQMzZvak5zSGZJQzRSdnRJeUVJemc%7C0dTMFDnhosK%7C?hl=vi","Never ending lines everywhere. You better arrive 3 hours before departure if you need to check in at the airport."
"Cảng hàng không quốc tế Tân Sơn Nhất","https://www.google.com/maps/search/?api=1&query=C%E1%BA%A3ng%20h%C3%A0ng%20kh%C3%B4ng%20qu%E1%BB%91c%20t%E1%BA%BF%20T%C3%A2n%20S%C6%A1n%20Nh%E1%BA%A5t&query_place_id=ChIJnZ-oGhEpdTER8ycbqsCc8Ng","4","Tim Chu","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xKVU0wZHZla1JRVlc1b1IySjBabGRFVFhwbVRGRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOlJUM0dvekRQVW5oR2J0ZldETXpmTFE%7C0dTJ4RWDvgE%7C?hl=vi","No issue at this airport as long as one understand what to expect. It is well known that the immigration lines are long and there are ways to improve that experience. If you are not willing to pay for the VIP service, then stay in line for your turn. The airport itself offers free Wi-Fi and all essential services as an airport. Departure experience is similar, there is always a line for customs and security."
"Cảng hàng không quốc tế Tân Sơn Nhất","https://www.google.com/maps/search/?api=1&query=C%E1%BA%A3ng%20h%C3%A0ng%20kh%C3%B4ng%20qu%E1%BB%91c%20t%E1%BA%BF%20T%C3%A2n%20S%C6%A1n%20Nh%E1%BA%A5t&query_place_id=ChIJnZ-oGhEpdTER8ycbqsCc8Ng","4","ann","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT204MVJFaFVTRk0xT1hGNlVrUk1TR1pyUWxNeGJYYxAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOm81REhUSFM1OXF6UkRMSGZrQlMxbXc%7C0dTCmbTU_us%7C?hl=vi","ダナンからの国内線から国際線に乗り継ぎ。
国内線が新しくできた第３ターミナルに着いたのでシャトルバスに乗りましたが乗り場までの　表示がわかりにくいし、乗ったシャトルバスは街中走っていくからびっくり。これ事故とか巻き込まれたらどうするの？ってドキドキしました。
国際線ターミナルは第２ターミナル。空港自体は、ラウンジも快適で問題なかったです。"
"Cảng hàng không quốc tế Tân Sơn Nhất","https://www.google.com/maps/search/?api=1&query=C%E1%BA%A3ng%20h%C3%A0ng%20kh%C3%B4ng%20qu%E1%BB%91c%20t%E1%BA%BF%20T%C3%A2n%20S%C6%A1n%20Nh%E1%BA%A5t&query_place_id=ChIJnZ-oGhEpdTER8ycbqsCc8Ng","5","Phan Văn Trung","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xSSFJFOXdhV2N0ZVhwaE5GWkpPVkZLWTJ0bmVXYxAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOlRHRE9waWcteXphNFZJOVFKY2tneWc%7C0dTBUZMsiDS%7C?hl=vi",
"Cảng hàng không quốc tế Tân Sơn Nhất","https://www.google.com/maps/search/?api=1&query=C%E1%BA%A3ng%20h%C3%A0ng%20kh%C3%B4ng%20qu%E1%BB%91c%20t%E1%BA%BF%20T%C3%A2n%20S%C6%A1n%20Nh%E1%BA%A5t&query_place_id=ChIJnZ-oGhEpdTER8ycbqsCc8Ng","4","Subodh Pokhrel","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25sVmQzSnVWVWh4YVRGZk0wTm1kRkpGZEc1dGIxRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOnlVd3JuVUhxaTFfM0NmdFJFdG5tb1E%7C0dTAHdAbjVt%7C?hl=vi","Crazy experience because of the language Barries but Google translate got me there. Would love to go back again."
"Cảng hàng không quốc tế Tân Sơn Nhất","https://www.google.com/maps/search/?api=1&query=C%E1%BA%A3ng%20h%C3%A0ng%20kh%C3%B4ng%20qu%E1%BB%91c%20t%E1%BA%BF%20T%C3%A2n%20S%C6%A1n%20Nh%E1%BA%A5t&query_place_id=ChIJnZ-oGhEpdTER8ycbqsCc8Ng","3","Prateek Kashyap","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25KTWIxWkdiaTB5VVc1RFJ6aElUazlGYWs1U1NrRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOnJMb1ZGbi0yUW5DRzhITk9Fak5SSkE%7C0dT9FLtPXUn%7C?hl=vi","Very limited eating options. No duty free products. No international brands. Being it an international airport it has nothing"
